Rank,Year,Artist,Song1,Chart_Year
216,1964,Martha And The Vandellas,Dancing In The Street,1989
217,1967,Frankie Valli,Can't Take My Eyes Off You,1989
218,1961,Shep And The Limelites,Daddy's Home,1989
219,1963,The Duprees,Have You Heard,1989
220,1960,The Demensions,Over The Rainbow,1989
221,1957,Paul Anka,Diana,1989
222,1970,Carpenters,(They Long To Be) Close To You,1989
223,1962,Shelley Fabares,Johnny Angel,1989
224,1958,Jack Scott,My True Love,1989
225,1961,"The Chimes [60s, Brooklyn]",Only Love,1989
226,1969,Elvis Presley,Memories,1989
227,1959,Frankie Avalon,Venus,1989
228,1980,Bette Midler,The Rose,1989
229,1964,The 4 Seasons,Ronnie,1989
230,1963,Roy Orbison,In Dreams,1989
231,1958,The Everly Brothers,Devoted To You,1989
232,1971,The Rolling Stones,Brown Sugar,1989
233,1964,The Beatles,All My Loving,1989
234,1958,Jerry Butler And The Impressions,For Your Precious Love,1989
235,1970,The 5th Dimension,One Less Bell To Answer,1989
236,1963,Dion (Di Muci),Donna The Prima Donna,1989
237,1959,Dion And The Belmonts,Where Or When,1989
238,1957,Lee Andrews And The Hearts,Teardrops,1989
239,1961,The Marvelettes,Please Mr. Postman,1989
240,1959,Little Anthony And The Imperials,"Shimmy, Shimmy, Ko-Ko Bop",1989
241,1962,Dickey Lee,Patches,1989
242,1972,The Moody Blues,Nights In White Satin,1989
243,1960,Elvis Presley With The Jordanaires,It's Now Or Never,1989
244,1958,Ricky Nelson,Poor Little Fool,1989
245,1960,The Crests,Step By Step,1989
246,1958,The Students,I'm So Young,1989
247,1956,The Schoolboys [DooWop],Shirley,1989
248,1961,The Regents [New York],Barbara-Ann,1989
249,1965,The Righteous Brothers,Ebb Tide,1989
250,1963,Lesley Gore,You Don't Own Me,1989
201,1958,The Platters,Out Of My Mind,1989
202,1960,The Passions,This Is My Love,1989
203,1961,The Edsels,Rama Lama Ding Dong,1989
204,1964,The Beatles,She's A Woman,1989
205,1962,Neil Sedaka,As Long As I Live,1989
206,1959,Connie Francis,Frankie,1989
207,1959,Santo And Johnny,All Night Diner,1989
208,1964,The Beach Boys,Don't Worry Baby,1989
209,1960,The Skyliners,I'll Be Seeing You,1989
210,1966,The Temptations,You'll Lose A Precious Love,1989
211,1958,Elvis Presley,I Got Stung,1989
212,1956,The 3 Friends,Baby I'll Cry,1989
